id,name,national_dex_number,category,types,hp,attack,defense,sp_atk,sp_def,speed,evolution_prev,evolution_next,abilities,image_path,gender_ratio,created_at,form_image_paths
24,Arbok,24,Cobra Pokémon,"[""Poison""]",60,85,69,65,79,80,Ekans,,"[{""name"": ""Intimidate"", ""is_hidden"": false}, {""name"": ""Shed Skin"", ""is_hidden"": false}, {""name"": ""Unnerve"", ""is_hidden"": true}]",images/Arbok.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
25,Pikachu,25,Mouse Pokémon,"[""Electric""]",35,55,30,50,40,90,Pichu,Raichu,"[{""name"": ""Static"", ""is_hidden"": false}, {""name"": ""Lightning Rod"", ""is_hidden"": true}]",images/Pikachu.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
26,Raichu,26,Mouse Pokémon,"[""Electric"", ""Psychic""]",60,90,55,90,80,100,Pikachu,Raichu (Alolan),"[{""name"": ""Static"", ""is_hidden"": false}, {""name"": ""Surge Surfer"", ""is_hidden"": false}, {""name"": ""Lightning Rod"", ""is_hidden"": true}]",images/Raichu_Raichu.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,"{""Raichu"": ""images/Raichu_Raichu.png"", ""Mega_Raichu_X"": ""images/Raichu_Mega_Raichu_X.png"", ""Mega_Raichu_Y"": ""images/Raichu_Mega_Raichu_Y.png""}"
27,Sandshrew,27,Mouse Pokémon,"[""Ground"", ""Ice""]",50,75,85,20,30,40,,Sandslash,"[{""name"": ""Sand Veil"", ""is_hidden"": false}, {""name"": ""Snow Cloak"", ""is_hidden"": false}, {""name"": ""Sand Rush"", ""is_hidden"": true}, {""name"": ""Slush Rush"", ""is_hidden"": true}]",images/Sandshrew.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
28,Sandslash,28,Mouse Pokémon,"[""Ground"", ""Ice""]",75,100,110,45,55,65,Sandshrew,Sandshrew (Alolan),"[{""name"": ""Sand Veil"", ""is_hidden"": false}, {""name"": ""Snow Cloak"", ""is_hidden"": false}, {""name"": ""Sand Rush"", ""is_hidden"": true}, {""name"": ""Slush Rush"", ""is_hidden"": true}]",images/Sandslash.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
29,Nidoran♀,29,Poison Pin Pokémon,"[""Poison""]",55,47,52,40,40,41,,Nidorina,"[{""name"": ""Poison Point"", ""is_hidden"": false}, {""name"": ""Rivalry"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": true}]",images/Nidoran_female.png,"{""male"": null, ""female"": 100.0}",2026-02-28 03:16:50,
30,Nidorina,30,Poison Pin Pokémon,"[""Poison""]",70,62,67,55,55,56,Nidoran♀,Nidoqueen,"[{""name"": ""Poison Point"", ""is_hidden"": false}, {""name"": ""Rivalry"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": true}]",images/Nidorina.png,"{""male"": null, ""female"": 100.0}",2026-02-28 03:16:50,
31,Nidoqueen,31,Drill Pokémon,"[""Poison"", ""Ground""]",90,82,87,75,85,76,Nidorina,,"[{""name"": ""Poison Point"", ""is_hidden"": false}, {""name"": ""Rivalry"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Sheer Force"", ""is_hidden"": true}]",images/Nidoqueen.png,"{""male"": null, ""female"": 100.0}",2026-02-28 03:16:50,
32,Nidoran♂,32,Poison Pin Pokémon,"[""Poison""]",46,57,40,40,40,50,,Nidorino,"[{""name"": ""Poison Point"", ""is_hidden"": false}, {""name"": ""Rivalry"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": true}]",images/Nidoran_male.png,"{""male"": 100.0, ""female"": null}",2026-02-28 03:16:50,
33,Nidorino,33,Poison Pin Pokémon,"[""Poison""]",61,72,57,55,55,65,Nidoran♂,Nidoking,"[{""name"": ""Poison Point"", ""is_hidden"": false}, {""name"": ""Rivalry"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": true}]",images/Nidorino.png,"{""male"": 100.0, ""female"": null}",2026-02-28 03:16:50,
34,Nidoking,34,Drill Pokémon,"[""Poison"", ""Ground""]",81,92,77,85,75,85,Nidorino,,"[{""name"": ""Poison Point"", ""is_hidden"": false}, {""name"": ""Rivalry"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Sheer Force"", ""is_hidden"": true}]",images/Nidoking.png,"{""male"": 100.0, ""female"": null}",2026-02-28 03:16:50,
35,Clefairy,35,Fairy Pokémon,"[""Fairy""]",70,45,48,60,65,35,Cleffa,Clefable,"[{""name"": ""Cute Charm"", ""is_hidden"": false}, {""name"": ""Magic Guard"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Friend Guard"", ""is_hidden"": true}]",images/Clefairy.png,"{""male"": 25.0, ""female"": 75.0}",2026-02-28 03:16:50,
36,Clefable,36,Fairy Pokémon,"[""Fairy"", ""Flying""]",95,70,73,85,90,60,Clefairy,,"[{""name"": ""Cute Charm"", ""is_hidden"": false}, {""name"": ""Magic Guard"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Unaware"", ""is_hidden"": true}]",images/Clefable_Clefable.png,"{""male"": 25.0, ""female"": 75.0}",2026-02-28 03:16:50,"{""Clefable"": ""images/Clefable_Clefable.png"", ""Mega_Clefable"": ""images/Clefable_Mega_Clefable.png""}"
37,Vulpix,37,Fox Pokémon,"[""Fire"", ""Ice""]",38,41,40,50,65,65,,Ninetales,"[{""name"": ""Flash Fire"", ""is_hidden"": false}, {""name"": ""Snow Cloak"", ""is_hidden"": false}, {""name"": ""Drought"", ""is_hidden"": true}, {""name"": ""Snow Warning"", ""is_hidden"": true}]",images/Vulpix.png,"{""male"": 25.0, ""female"": 75.0}",2026-02-28 03:16:50,
38,Ninetales,38,Fox Pokémon,"[""Fire"", ""Ice""]",73,76,75,81,100,100,Vulpix,Vulpix (Alolan),"[{""name"": ""Flash Fire"", ""is_hidden"": false}, {""name"": ""Snow Cloak"", ""is_hidden"": false}, {""name"": ""Drought"", ""is_hidden"": true}, {""name"": ""Snow Warning"", ""is_hidden"": true}]",images/Ninetales.png,"{""male"": 25.0, ""female"": 75.0}",2026-02-28 03:16:50,
39,Jigglypuff,39,Balloon Pokémon,"[""Normal"", ""Fairy""]",115,45,20,45,25,20,Igglybuff,Wigglytuff,"[{""name"": ""Cute Charm"", ""is_hidden"": false}, {""name"": ""Competitive"", ""is_hidden"": false}, {""name"": ""Gen VI+"", ""is_hidden"": false}, {""name"": ""Friend Guard"", ""is_hidden"": true}]",images/Jigglypuff.png,"{""male"": 25.0, ""female"": 75.0}",2026-02-28 03:16:50,
40,Wigglytuff,40,Balloon Pokémon,"[""Normal"", ""Fairy""]",140,70,45,75,50,45,Jigglypuff,,"[{""name"": ""Cute Charm"", ""is_hidden"": false}, {""name"": ""Competitive"", ""is_hidden"": false}, {""name"": ""Gen VI+"", ""is_hidden"": false}, {""name"": ""Frisk"", ""is_hidden"": true}]",images/Wigglytuff.png,"{""male"": 25.0, ""female"": 75.0}",2026-02-28 03:16:50,
41,Zubat,41,Bat Pokémon,"[""Poison"", ""Flying""]",40,45,35,30,40,55,,Golbat,"[{""name"": ""Inner Focus"", ""is_hidden"": false}, {""name"": ""Infiltrator"", ""is_hidden"": true}]",images/Zubat.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
42,Golbat,42,Bat Pokémon,"[""Poison"", ""Flying""]",75,80,70,65,75,90,Zubat,Crobat,"[{""name"": ""Inner Focus"", ""is_hidden"": false}, {""name"": ""Infiltrator"", ""is_hidden"": true}]",images/Golbat.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
43,Oddish,43,Weed Pokémon,"[""Grass"", ""Poison""]",45,50,55,75,65,30,,Gloom,"[{""name"": ""Chlorophyll"", ""is_hidden"": false}, {""name"": ""Run Away"", ""is_hidden"": true}]",images/Oddish.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
44,Gloom,44,Weed Pokémon,"[""Grass"", ""Poison""]",60,65,70,85,75,40,Oddish,Vileplume,"[{""name"": ""Chlorophyll"", ""is_hidden"": false}, {""name"": ""Stench"", ""is_hidden"": true}]",images/Gloom.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
45,Vileplume,45,Flower Pokémon,"[""Grass"", ""Poison""]",75,80,85,100,90,50,,,"[{""name"": ""Chlorophyll"", ""is_hidden"": false}, {""name"": ""Effect Spore"", ""is_hidden"": true}]",images/Vileplume.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
46,Paras,46,Mushroom Pokémon,"[""Bug"", ""Grass""]",35,70,55,45,55,25,,Parasect,"[{""name"": ""Effect Spore"", ""is_hidden"": false}, {""name"": ""Dry Skin"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Damp"", ""is_hidden"": true}]",images/Paras.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
47,Parasect,47,Mushroom Pokémon,"[""Bug"", ""Grass""]",60,95,80,60,80,30,Paras,,"[{""name"": ""Effect Spore"", ""is_hidden"": false}, {""name"": ""Dry Skin"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Damp"", ""is_hidden"": true}]",images/Parasect.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
48,Venonat,48,Insect Pokémon,"[""Bug"", ""Poison""]",60,55,50,40,55,45,,Venomoth,"[{""name"": ""Compound Eyes"", ""is_hidden"": false}, {""name"": ""Tinted Lens"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Run Away"", ""is_hidden"": true}]",images/Venonat.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
49,Venomoth,49,Poison Moth Pokémon,"[""Bug"", ""Poison""]",70,65,60,90,75,90,Venonat,,"[{""name"": ""Shield Dust"", ""is_hidden"": false}, {""name"": ""Tinted Lens"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Wonder Skin"", ""is_hidden"": true}]",images/Venomoth.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
50,Diglett,50,Mole Pokémon,"[""Ground"", ""Steel""]",10,55,25,35,45,95,,Dugtrio,"[{""name"": ""Sand Veil"", ""is_hidden"": false}, {""name"": ""Arena Trap"", ""is_hidden"": false}, {""name"": ""Tangling Hair"", ""is_hidden"": false}, {""name"": ""Sand Force"", ""is_hidden"": true}]",images/Diglett.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
51,Dugtrio,51,Mole Pokémon,"[""Ground"", ""Steel""]",35,80,50,50,70,120,Diglett,Diglett (Alolan),"[{""name"": ""Sand Veil"", ""is_hidden"": false}, {""name"": ""Arena Trap"", ""is_hidden"": false}, {""name"": ""Tangling Hair"", ""is_hidden"": false}, {""name"": ""Sand Force"", ""is_hidden"": true}]",images/Dugtrio.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
52,Meowth,52,Scratch Cat Pokémon,"[""Normal"", ""Dark""]",40,45,35,40,40,90,,Persian,"[{""name"": ""Pickup"", ""is_hidden"": false}, {""name"": ""Technician"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Tough Claws"", ""is_hidden"": false}, {""name"": ""Unnerve"", ""is_hidden"": true}, {""name"": ""Rattled"", ""is_hidden"": true}]",images/Meowth_Meowth.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,"{""Meowth"": ""images/Meowth_Meowth.png"", ""Other_forms_may_have_other_shapes"": ""images/Meowth_Other_forms_may_have_other_shapes.png""}"
53,Persian,53,Classy Cat Pokémon,"[""Normal"", ""Dark""]",65,70,60,65,65,115,Meowth,Meowth (Alolan),"[{""name"": ""Limber"", ""is_hidden"": false}, {""name"": ""Technician"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Fur Coat"", ""is_hidden"": false}, {""name"": ""Unnerve"", ""is_hidden"": true}, {""name"": ""Rattled"", ""is_hidden"": true}]",images/Persian.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
54,Psyduck,54,Duck Pokémon,"[""Water""]",50,52,48,65,50,55,,Golduck,"[{""name"": ""Damp"", ""is_hidden"": false}, {""name"": ""Cloud Nine"", ""is_hidden"": false}, {""name"": ""Swift Swim"", ""is_hidden"": true}]",images/Psyduck.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
55,Golduck,55,Duck Pokémon,"[""Water""]",80,82,78,95,80,85,Psyduck,,"[{""name"": ""Damp"", ""is_hidden"": false}, {""name"": ""Cloud Nine"", ""is_hidden"": false}, {""name"": ""Swift Swim"", ""is_hidden"": true}]",images/Golduck.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
56,Mankey,56,Pig Monkey Pokémon,"[""Fighting""]",40,80,35,35,45,70,,Primeape,"[{""name"": ""Vital Spirit"", ""is_hidden"": false}, {""name"": ""Anger Point"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Defiant"", ""is_hidden"": true}]",images/Mankey.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
57,Primeape,57,Pig Monkey Pokémon,"[""Fighting""]",65,105,60,60,70,95,Mankey,Annihilape,"[{""name"": ""Vital Spirit"", ""is_hidden"": false}, {""name"": ""Anger Point"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Defiant"", ""is_hidden"": true}]",images/Primeape.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
58,Growlithe,58,Puppy PokémonScout Pokémon,"[""Fire"", ""Rock""]",55,70,45,70,50,60,,Arcanine,"[{""name"": ""Intimidate"", ""is_hidden"": false}, {""name"": ""Flash Fire"", ""is_hidden"": false}, {""name"": ""Justified"", ""is_hidden"": true}, {""name"": ""Rock Head"", ""is_hidden"": true}]",images/Growlithe.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
59,Arcanine,59,Legendary Pokémon,"[""Fire"", ""Rock""]",90,110,80,100,80,95,Growlithe,Growlithe (Hisuian),"[{""name"": ""Intimidate"", ""is_hidden"": false}, {""name"": ""Flash Fire"", ""is_hidden"": false}, {""name"": ""Justified"", ""is_hidden"": true}, {""name"": ""Rock Head"", ""is_hidden"": true}]",images/Arcanine.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
60,Poliwag,60,Tadpole Pokémon,"[""Water""]",40,50,40,40,40,90,,Poliwhirl,"[{""name"": ""Water Absorb"", ""is_hidden"": false}, {""name"": ""Damp"", ""is_hidden"": false}, {""name"": ""Swift Swim"", ""is_hidden"": true}]",images/Poliwag.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
61,Poliwhirl,61,Tadpole Pokémon,"[""Water""]",65,65,65,50,50,90,Poliwag,Poliwrath,"[{""name"": ""Water Absorb"", ""is_hidden"": false}, {""name"": ""Damp"", ""is_hidden"": false}, {""name"": ""Swift Swim"", ""is_hidden"": true}]",images/Poliwhirl.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
62,Poliwrath,62,Tadpole Pokémon,"[""Water"", ""Fighting""]",90,85,95,70,90,70,Poliwhirl,,"[{""name"": ""Water Absorb"", ""is_hidden"": false}, {""name"": ""Damp"", ""is_hidden"": false}, {""name"": ""Swift Swim"", ""is_hidden"": true}]",images/Poliwrath.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
63,Abra,63,Psi Pokémon,"[""Psychic""]",25,20,15,105,55,90,,Kadabra,"[{""name"": ""Synchronize"", ""is_hidden"": false}, {""name"": ""Inner Focus"", ""is_hidden"": false}, {""name"": ""Magic Guard"", ""is_hidden"": true}]",images/Abra.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
64,Kadabra,64,Psi Pokémon,"[""Psychic""]",40,35,30,120,70,105,Abra,Alakazam,"[{""name"": ""Synchronize"", ""is_hidden"": false}, {""name"": ""Inner Focus"", ""is_hidden"": false}, {""name"": ""Magic Guard"", ""is_hidden"": true}]",images/Kadabra.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
65,Alakazam,65,Psi Pokémon,"[""Psychic""]",55,50,45,135,85,120,Kadabra,,"[{""name"": ""Synchronize"", ""is_hidden"": false}, {""name"": ""Inner Focus"", ""is_hidden"": false}, {""name"": ""Magic Guard"", ""is_hidden"": true}, {""name"": ""Trace"", ""is_hidden"": false}]",images/Alakazam_Alakazam.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,"{""Alakazam"": ""images/Alakazam_Alakazam.png"", ""Mega_Alakazam"": ""images/Alakazam_Mega_Alakazam.png""}"
66,Machop,66,Superpower Pokémon,"[""Fighting""]",70,80,50,35,35,35,,Machoke,"[{""name"": ""Guts"", ""is_hidden"": false}, {""name"": ""No Guard"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Steadfast"", ""is_hidden"": true}]",images/Machop.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
67,Machoke,67,Superpower Pokémon,"[""Fighting""]",80,100,70,50,60,45,Machop,Machamp,"[{""name"": ""Guts"", ""is_hidden"": false}, {""name"": ""No Guard"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Steadfast"", ""is_hidden"": true}]",images/Machoke.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
68,Machamp,68,Superpower Pokémon,"[""Fighting""]",90,130,80,65,85,55,Machoke,,"[{""name"": ""Guts"", ""is_hidden"": false}, {""name"": ""No Guard"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Steadfast"", ""is_hidden"": true}]",images/Machamp.png,"{""male"": 75.0, ""female"": 25.0}",2026-02-28 03:16:50,
69,Bellsprout,69,Flower Pokémon,"[""Grass"", ""Poison""]",50,75,35,70,30,40,,Weepinbell,"[{""name"": ""Chlorophyll"", ""is_hidden"": false}, {""name"": ""Gluttony"", ""is_hidden"": true}]",images/Bellsprout.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
